ID	vulvar length	vulvar width	vulvar angle	birth season	age	measurement batch
18708	3.9	3.2	166	2	166	20
18718	3.6	2.8	169	2	166	20
18726	4.5	3.7	149	2	164	20
18764	3.7	2.9	180	2	161	20
18768	4.5	3.6	178	2	161	20
18782	3.7	3.4	162	2	161	20
18790	3.3	2.7	162	2	161	20
18844	3.9	3.7	166	2	160	20
18894	3.8	3.3	162	2	160	20
18898	3.2	2.3	166	2	160	20
19008	4	3.2	160	2	166	21
19018	3.9	3	135	2	165	21
19062	4.2	3.2	165	2	165	21
19078	3.2	2.9	150	2	164	21
19142	2.8	2.7	145	2	162	21
19146	2.8	2.6	130	2	163	21
19176	3.7	2.7	180	2	162	21
19202	3	2.6	145	2	161	21
19212	3.4	2.4	150	2	162	21
19214	4	3.2	140	2	161	21
19234	2.9	2.7	140	2	161	21
19258	3.5	2.5	180	2	161	21
19298	3.9	3.1	150	2	160	21
19304	2.5	2.4	110	2	160	21
19316	3	2.7	145	2	160	21
19362	3.6	2.8	140	3	159	21
19366	4.1	3.5	180	3	159	21
19390	4	3.6	150	3	158	21
19442	4.1	3	145	3	158	21
19456	2.7	2.7	150	3	159	21
19478	4.6	2.9	180	3	157	21
19508	3.8	2.8	160	3	158	21
19536	4.5	3.3	140	3	158	21
19604	3.6	2.7	180	3	158	21
19678	4.3	2.3	160	3	157	21
19694	3.7	2.7	180	3	157	21
19698	4.4	3.3	140	3	156	21
19702	4.3	2.9	150	3	155	21
37584	2.6	1.4	160	1	165	22
37612	2.5	1.6	140	1	161	22
37624	2.5	1.4	120	1	160	22
37650	4	2.4	180	1	160	22
37652	2.3	1.7	118	1	160	22
37660	2.9	1.9	180	1	161	22
37668	2.7	1.4	130	1	160	22
37674	2.4	1.3	150	1	161	22
37684	2	1.4	120	1	160	22
37686	2.7	1.8	150	1	160	22
37690	1.8	1.1	135	1	159	22
37698	2.1	1.4	120	1	160	22
37700	2.8	1.9	145	1	160	22
37702	2.9	1.4	130	1	160	22
37712	2.6	1.3	135	1	160	22
37754	2.1	1.4	130	1	161	22
37774	1.7	0.9	120	1	158	22
37794	2.8	1.5	140	1	160	22
37798	1.5	1	150	1	160	22
37822	2.6	1.6	145	1	155	22
37824	2	1.5	140	1	160	22
37832	1.2	1.1	150	1	160	22
37834	1.6	1.3	155	1	160	22
37838	2	2	130	1	160	22
37852	1.3	1	140	1	160	22
37854	2.7	1.6	140	1	160	22
37856	1.4	1.3	155	1	160	22
38004	2.4	2.3	155	1	160	23
38008	2.5	2.5	155	1	160	23
38026	3	2	150	1	160	23
38028	2.4	2	165	1	160	23
38040	3.2	2.8	165	1	160	23
38048	2.6	1.9	160	1	160	23
38116	2.4	2	155	1	160	23
38118	3.3	2.5	170	1	160	23
38142	2.8	2.4	165	1	161	23
38146	2.5	2	160	1	160	23
38148	2.7	2.2	170	1	160	23
38166	1.8	2	150	1	160	23
38168	2	1.6	130	1	160	23
38174	2	1.9	150	1	160	23
38176	1.8	1.2	155	1	160	23
38178	2.1	1.8	160	1	160	23
38182	1.7	2	155	1	160	23
38254	2	1.7	160	1	160	23
38258	2	1.6	155	1	160	23
38260	2	1.6	155	1	160	23
38264	1.9	1.5	160	1	160	23
38266	1.6	1.4	165	1	160	23
38270	1.7	1.5	155	1	160	23
38276	2	2	150	1	160	23
38302	2.2	2	160	1	160	23
38318	2.5	2	150	1	158	23
38320	1.6	1.6	150	1	159	23
38324	2.2	1.8	155	1	159	23
38328	1.6	1.2	150	1	159	23
38332	2.2	1.6	150	1	159	23
38334	2.2	1.4	165	1	159	23
38340	2	1.5	155	1	159	23
38352	2	1.8	150	1	159	23
38356	1.8	1.5	170	1	159	23
38364	2.5	2	155	1	159	23
