RIL,yd,tp,gn,kgw,gw,gl,hd,OsC1,Bin868
R221,20.545,10.525,77.9,25.37,2.975,9.56,74.1,0,1
R222,25.2925,8.65,100.675,29.09,3.415,9.325,89.43333333,1,0
R223,28.195,10.1,103.8,26.5325,3.55,8.565,77.9,0,1
R224,23.77,10.675,108.725,21.1425,3.005,8.34,76.9,0,1
R225,31.0525,10.325,111.625,27.355,3.22,8.745,75.56666667,0,1
R226,20.9975,11.625,74.55,24.9625,2.95,8.7,72.76666667,0,1
R227,26.715,10.675,111.825,23.1775,3.385,8.32,79.23333333,0,1
R228,25.545,9.775,121.25,22.1275,3.305,8.145,77.23333333,0,1
R229,29.0325,9.95,120.1,24.485,3.34,8.29,86.43333333,0,1
R230,28.21,12.85,101.575,21.6075,2.95,8.455,86.43333333,0,1
R231,15.40637805,8.12097561,64.74695123,21.96737805,3.032464115,8.822559809,57.56666667,0,1
R232,26.71,10.6,112.725,22.4125,3.09,8.705,80.76666667,0,1
R233,29.305,11.525,105.95,24.0475,2.885,9.25,88.56666667,1,0
R234,25.59,10.85,104.7,23.5825,2.915,8.71,85.43333333,1,0
R235,29.7575,10.825,122.2,22.6475,3.16,8.21,82,1,0
R236,22.5125,11.225,91.125,22.325,2.805,8.5,74.56666667,0,1
R237,19.7425,12.975,71.5,21.4125,2.66,9.175,79.1,1,0
R238,28.1975,8.525,121.525,27.1525,3.18,8.84,86.9,1,0
R239,30.7625,10.275,112.975,26.6425,3.285,8.905,83.23333333,0,1
R241,27.57558613,11.6076555,94.84342107,26.26185407,3.455,8.72,86.9,0,1
